learning_rate,gamma,n_steps,ent_coef,vf_coef,max_grad_norm,total_timesteps,env_name,mean_reward,std_reward,n_eval_episodes,run_id,timestamp
0.0007,0.99,5,0.01,0.5,0.5,50000,AngazaEnv,3.39,9.03,10,run_20250730_110115,2025-07-30T11:01:15.753737
0.0003,0.99,10,0.005,0.3,1.0,50000,AngazaEnv,-6.48,4.5,10,run_20250730_124232,2025-07-30T12:42:32.733340
0.0007,0.99,5,0.01,0.3,1.0,50000,AngazaEnv,9.3,0.0,10,run_20250730_124500,2025-07-30T12:45:00.205470
0.0007,0.99,10,0.01,0.3,1.0,100000,AngazaEnv,3.31,9.15,10,run_20250730_125208,2025-07-30T12:52:08.395837
0.0007,0.99,5,0.01,0.3,1.0,100000,AngazaEnv,5.41,7.78,10,run_20250730_125347,2025-07-30T12:53:47.675593
0.0007,0.99,5,0.005,0.3,1.0,100000,AngazaEnv,7.34,5.88,10,run_20250730_125732,2025-07-30T12:57:32.110822
0.0007,0.99,5,0.003,0.4,1.0,100000,AngazaEnv,-7.99,3.94,10,run_20250730_130031,2025-07-30T13:00:31.767230
0.0007,0.99,5,0.005,0.3,1.0,50000,AngazaEnv,-6.19,4.2,10,run_20250730_130255,2025-07-30T13:02:55.277064
0.0007,0.99,5,0.005,0.3,1.0,100000,AngazaEnv,-7.25,4.3,10,run_20250730_130432,2025-07-30T13:04:32.769850
0.0007,0.99,5,0.01,0.3,1.0,100000,AngazaEnv,3.48,8.89,10,run_20250730_130756,2025-07-30T13:07:56.372584
0.0007,0.99,5,0.007,0.5,1.0,75000,AngazaEnv,7.3,6.0,10,run_20250730_131034,2025-07-30T13:10:34.713614
0.0007,0.99,5,0.007,0.5,1.0,75000,42,AngazaEnv,5.35,7.9,10,run_20250730_131412,2025-07-30T13:14:12.451113
0.0007,0.99,5,0.007,0.5,1.0,75000,456,AngazaEnv,5.4,7.8,10,run_20250730_131537,2025-07-30T13:15:37.327956
0.0007,0.99,5,0.005,0.4,1.0,75000,123,AngazaEnv,7.36,5.82,10,run_20250730_131740,2025-07-30T13:17:40.782918
0.0007,0.99,5,0.005,0.4,1.0,75000,42,AngazaEnv,7.37,5.79,10,run_20250730_131923,2025-07-30T13:19:23.202292
0.0007,0.99,5,0.005,0.4,1.0,75000,456,AngazaEnv,5.42,7.76,10,run_20250730_132055,2025-07-30T13:20:55.624745
0.0007,0.99,5,0.005,0.4,1.0,100000,456,AngazaEnv,3.45,8.94,10,run_20250730_132230,2025-07-30T13:22:30.700584
0.0005,0.99,5,0.005,0.4,1.0,75000,456,AngazaEnv,3.5,8.86,10,run_20250730_132420,2025-07-30T13:24:20.021758
0.0005,0.99,5,0.005,0.4,1.0,75000,123,AngazaEnv,7.33,5.91,10,run_20250730_132528,2025-07-30T13:25:28.609497
0.0005,0.99,5,0.006,0.35,1.0,75000,123,AngazaEnv,-0.38,9.68,10,run_20250730_132727,2025-07-30T13:27:27.710028
