#{"t_start": 1753900099.014961, "env_id": "None"}
r,l,t
-11.4,6,1.662935
-10.1,2,1.663257
-10.0,1,1.663422
-3.5,20,1.666364
-10.0,1,1.666586
-10.0,1,1.666759
-10.0,1,1.666928
-2.2,6,1.667843
-10.0,1,1.668012
-10.0,1,1.66818
-8.4,20,1.67118
-12.3,20,1.674205
-3.4,20,1.67722
6.3,13,1.679222
-10.4,5,1.679988
-10.0,1,1.680166
4.7,5,1.680925
-12.7,9,1.682276
-11.2,4,1.682887
-11.4,20,1.68585
-8.6,20,1.688886
-7.7,20,1.691946
-9.4,20,1.694969
-11.4,6,1.69594
-10.0,1,1.696111
-13.4,7,1.697168
-5.3,20,1.700139
-10.0,1,1.700362
-10.4,20,1.703328
-19.3,19,1.706202
-5.6,20,1.709162
-11.4,20,1.712181
-6.8,18,1.714882
-5.6,20,1.717819
-11.2,20,1.720847
-14.3,20,1.72386
-12.4,6,1.72483
-13.9,12,1.72663
-5.8,20,1.729593
-13.6,10,1.731149
-20.2,20,1.734101
-20.3,20,1.737082
-16.3,7,1.738141
-3.3,20,1.741101
6.5,6,1.742072
-14.2,6,1.74298
-8.6,20,1.74591
0.7,18,1.748649
-10.4,20,1.751605
-7.6,20,1.754628
-8.6,20,1.757657
3.5,8,1.758912
0.6,20,1.761872
-12.4,20,1.764806
0.7,19,1.767674
-0.5,11,1.769295
-14.2,20,1.772241
4.5,19,1.775132
-3.5,20,2.105716
-4.8,20,2.108811
-8.5,20,2.111842
3.7,19,2.114697
-6.0,3,2.115166
-5.1,3,2.115627
-10.4,5,2.116376
6.8,3,2.116838
-5.0,2,2.117154
-10.1,2,2.117467
-12.1,3,2.117925
7.0,1,2.118088
7.0,1,2.118255
6.3,20,2.121161
-11.4,20,2.124079
-10.4,20,2.127076
7.0,1,2.127297
-18.7,13,2.129231
-8.4,20,2.132155
-7.5,20,2.135186
1.6,8,2.136431
-6.6,9,2.137772
-10.3,4,2.138373
-10.0,1,2.138542
6.7,4,2.139145
-10.2,3,2.1396
5.1,11,2.141212
3.0,16,2.143555
-17.1,17,2.146033
5.9,12,2.147977
-5.8,20,2.150968
-12.9,11,2.152681
-10.2,3,2.153151
-10.4,20,2.156121
-13.2,20,2.159102
-13.0,13,2.161071
-10.3,4,2.161678
-10.0,1,2.161847
-10.0,1,2.162013
-10.0,1,2.162178
-14.7,10,2.163643
-1.0,18,2.166263
-12.5,8,2.167451
-13.3,7,2.168495
4.8,16,2.170833
11.7,5,2.171584
-16.8,13,2.173485
-4.4,20,2.176385
-14.5,19,2.179229
2.6,18,2.181867
-16.8,12,2.183629
-12.3,20,2.186533
-11.4,6,2.187495
-10.3,20,2.190417
-13.3,6,2.191375
-10.0,1,2.191543
-12.5,7,2.192581
12.8,15,2.194791
-10.4,5,2.19554
-10.2,3,2.195996
-10.0,1,2.196163
-10.0,1,2.196327
-10.0,1,2.196492
-9.4,20,2.199418
0.4,20,2.202388
-10.3,4,2.203053
-10.0,1,2.20322
-16.8,13,2.205122
6.9,2,2.205431
12.0,2,2.205742
6.5,6,2.206628
4.3,20,2.209534
-11.0,11,2.211134
-10.5,10,2.212599
-15.2,16,2.214923
-13.3,15,2.217113
7.5,17,2.219577
-8.4,20,2.222503
-10.4,5,2.223304
-10.0,1,2.223475
-5.0,2,2.223786
2.2,20,2.226666
-14.8,11,2.228348
-4.8,20,2.231266
0.8,18,2.233945
-9.5,20,2.236849
-10.4,5,2.237671
1.6,19,2.240443
0.3,20,2.243347
-5.7,20,2.246312
-10.0,1,2.246531
-10.0,1,2.246697
-10.0,1,2.246867
-5.8,20,2.249754
-1.3,20,2.252697
-13.9,12,2.254449
-21.1,18,2.257038
-11.8,13,2.258947
-6.6,20,2.261834
0.8,17,2.264364
6.6,16,2.266685
-13.2,20,2.26958
-5.8,20,2.272538
4.1,13,2.274503
-13.6,9,2.275826
-11.4,6,2.276719
-5.3,5,2.277469
-10.2,3,2.277926
-15.9,13,2.279818
8.7,14,2.281853
4.6,17,2.284322
-10.1,2,2.284635
-10.0,1,2.284798
1.0,15,2.286988
-5.0,2,2.287303
-10.0,1,2.287466
-5.1,3,2.287923
-10.3,4,2.288524
-10.1,2,2.288837
-9.4,20,2.291726
-10.0,1,2.291943
-10.0,1,2.29211
6.9,2,2.292423
5.7,16,2.294749
-10.4,20,2.297652
-10.0,1,2.297872
-9.5,20,2.300775
-17.4,19,2.303594
-15.8,13,2.305495
-6.7,20,2.308397
-10.1,2,2.308796
6.7,16,2.311131
-0.7,12,2.312877
-12.7,9,2.314196
-13.3,6,2.315084
-10.4,20,2.31798
-7.7,20,2.32096
-10.0,1,2.321181
-10.0,1,2.321348
7.0,1,2.321515
-5.4,6,2.322415
-14.0,13,2.324339
-6.7,20,2.327245
-11.4,20,2.330216
-18.8,15,2.332461
-15.0,14,2.334494
-11.9,11,2.336099
-0.7,20,2.339001
-19.8,15,2.341244
-13.1,4,2.341841
-5.7,20,2.344738
6.0,13,2.346687
-7.7,20,2.349583
-9.4,20,2.352539
3.0,14,2.354666
10.7,17,2.357128
9.0,11,2.358737
-7.5,20,2.361608
-12.1,3,2.362125
-14.5,19,2.365052
0.9,15,2.367266
-10.5,20,2.370183
2.7,7,2.37129
-9.5,20,2.374221
-13.2,20,2.377199
-14.2,20,2.380188
-15.5,9,2.381575
-13.3,6,2.382473
-4.8,20,2.385375
-3.3,17,2.387916
4.3,10,2.389409
-9.3,20,2.392321
-5.6,20,2.395297
-18.0,15,2.397743
-10.2,3,2.398248
-11.4,6,2.399196
-5.8,20,2.402211
-16.0,15,2.404552
-11.4,6,2.405478
7.2,10,2.407006
-14.6,9,2.734497
-12.1,3,2.735031
5.8,4,2.735665
-5.7,20,2.738653
-10.0,1,2.73889
-5.0,2,2.739214
3.9,15,2.741449
-11.4,20,2.744392
-7.7,20,2.747392
6.2,20,2.750389
-9.0,14,2.752453
3.3,10,2.753945
-10.2,3,2.754408
-0.2,5,2.755161
5.5,18,2.757804
2.5,8,2.758998
-6.5,20,2.76193
-10.4,5,2.762747
4.1,13,2.76488
7.0,1,2.765067
-11.0,2,2.765396
5.0,15,2.767624
-7.4,17,2.770134
-10.8,9,2.771472
4.0,14,2.773535
-11.5,20,2.776432
4.7,5,2.77726
-10.0,1,2.777429
-10.0,1,2.777597
5.5,18,2.780239
-15.4,17,2.782718
-6.8,17,2.785215
-7.6,20,2.788127
-0.1,17,2.790667
5.9,15,2.792862
6.0,11,2.79448
-4.8,20,2.797409
4.6,17,2.799974
-2.9,20,2.802867
-9.5,20,2.805847
-10.0,1,2.806068
-10.0,1,2.806236
-10.2,3,2.806693
7.0,1,2.806863
-10.4,5,2.807618
6.0,14,2.809664
-6.6,20,2.812552
-12.5,7,2.813655
-5.7,20,2.816549
7.1,11,2.818215
3.9,15,2.820393
5.7,16,2.82272
-10.0,1,2.822885
-10.2,3,2.823337
-9.3,8,2.824511
-10.2,3,2.824969
5.2,11,2.826576
-10.2,3,2.82703
0.1,14,2.829059
-12.4,6,2.829945
-13.7,10,2.831395
-7.7,20,2.834284
4.1,12,2.836089
5.7,5,2.83684
8.7,14,2.838876
6.3,20,2.841774
7.0,12,2.843525
-4.7,20,2.846448
-13.3,15,2.848684
6.5,17,2.85114
-7.6,20,2.854032
-16.8,13,2.855986
-12.4,6,2.856867
-0.4,20,2.859775
-15.6,10,2.861246
3.7,6,2.862131
-10.3,4,2.862733
-10.1,2,2.863064
-10.0,1,2.863237
-10.0,1,2.863414
-10.0,1,2.863578
-10.1,2,2.863887
-10.0,1,2.864047
-10.0,1,2.864209
-8.6,20,2.867095
11.5,7,2.868191
-11.3,5,2.868954
-9.5,20,2.87185
2.7,18,2.87451
-9.4,20,2.877394
4.3,9,2.878775
-3.8,20,2.881814
-7.6,20,2.884827
6.4,18,2.887544
-2.5,20,2.890479
4.6,17,2.893017
1.8,16,2.895369
6.6,16,2.897897
-6.7,20,2.900927
-4.8,20,2.903984
9.2,9,2.905403
-12.6,8,2.906607
7.5,17,2.909122
4.4,20,2.91209
1.3,20,2.915037
-16.3,8,2.916298
3.4,20,2.919252
-8.4,20,2.922184
-11.4,6,2.923144
7.0,1,2.923313
-10.0,1,2.923478
-10.0,1,2.923642
-10.4,5,2.924396
-7.2,6,2.925297
-10.1,2,2.925608
-10.0,1,2.925772
4.0,14,2.927831
2.3,10,2.929311
-5.6,20,2.932242
-10.7,8,2.933499
-11.2,4,2.934108
-6.7,20,2.937047
-8.1,14,2.939173
-10.4,20,2.942108
-10.0,1,2.942336
-10.0,1,2.942505
11.9,3,2.942969
7.0,1,2.943135
-10.3,4,2.943744
-5.7,20,2.946693
-10.5,20,2.949708
6.7,20,2.952699
6.8,14,2.954761
0.1,15,2.956973
4.7,15,2.959187
-6.7,20,2.962108
-10.2,3,2.962629
-5.4,6,2.963554
13.2,11,2.965202
-17.2,17,2.96771
-10.4,20,2.970643
-10.7,12,2.972475
-5.7,20,2.975393
8.0,12,2.977262
-20.3,20,2.980197
-15.4,8,2.98139
-14.2,15,2.983597
-5.7,20,2.98652
4.4,19,2.989371
-12.7,10,2.990854
3.8,15,2.993063
-9.4,20,2.995988
-4.8,20,2.998979
-11.3,5,2.999796
-3.9,20,3.002724
-2.3,19,3.005572
-12.3,20,3.008501
-0.0,16,3.010919
-14.8,12,3.012721
-4.8,20,3.015657
-8.6,20,3.018616
9.0,11,3.020288
-7.4,20,3.023203
7.1,11,3.024871
-10.1,2,3.02518
0.7,18,3.027791
-4.8,20,3.030689
-6.7,20,3.033649
-11.5,7,3.03474
6.5,17,3.037217
3.0,15,3.369287
-8.6,20,3.372347
-10.5,6,3.373341
9.1,10,3.374853
-11.5,20,3.377805
-0.1,16,3.380314
6.8,15,3.382755
5.9,14,3.384903
9.0,11,3.386572
-10.6,7,3.387648
5.3,10,3.389162
-12.2,5,3.389927
8.0,12,3.391767
-2.9,20,3.394755
-12.7,9,3.396237
6.9,13,3.398427
6.9,2,3.398774
7.9,13,3.400747
1.6,8,3.401961
-7.6,20,3.404939
-10.0,1,3.405172
-10.0,1,3.405349
-10.0,1,3.405518
8.3,9,3.406885
-7.7,20,3.409852
-12.1,13,3.411851
8.1,11,3.413499
2.1,15,3.415725
-11.0,2,3.416045
-10.0,1,3.41621
-10.0,1,3.416374
14.2,10,3.417873
3.0,15,3.420095
6.3,8,3.421292
-13.7,20,3.424236
-12.3,20,3.427173
-11.5,20,3.430185
-10.4,5,3.43101
8.9,12,3.432797
-9.6,20,3.435729
-5.7,20,3.438756
-8.6,20,3.441791
-13.3,20,3.444803
-15.6,11,3.446497
-10.6,7,3.44756
4.6,6,3.44846
-12.4,16,3.450812
4.3,20,3.453747
7.2,10,3.45523
10.2,13,3.457141
-11.2,4,3.457748
-10.0,1,3.457916
9.2,9,3.459249
11.1,11,3.460874
7.8,18,3.46352
6.0,13,3.465442
-10.2,3,3.465906
7.0,1,3.466072
-10.0,1,3.466237
-10.0,1,3.466401
-10.0,1,3.466566
-10.0,1,3.466733
3.8,16,3.469082
4.6,17,3.471611
2.7,6,3.472507
6.8,14,3.474569
8.6,15,3.476764
-15.7,11,3.478391
-14.2,15,3.480614
8.2,10,3.482096
2.7,18,3.484729
-12.6,8,3.485916
6.9,13,3.487835
-14.6,10,3.489309
8.1,15,3.491511
-8.0,13,3.493424
-18.4,19,3.496201
-9.5,20,3.499159
-3.4,20,3.502162
-5.7,20,3.50515
-9.5,20,3.508151
9.1,10,3.509701
4.5,19,3.512483
-11.0,11,3.514114
-11.3,14,3.516171
5.0,14,3.518238
-12.9,11,3.51986
7.0,12,3.521628
5.3,9,3.522952
-11.5,7,3.523997
-10.1,2,3.524311
4.7,16,3.526652
5.8,15,3.528858
-10.0,1,3.529027
-10.0,1,3.529191
-10.0,1,3.529355
6.8,3,3.529813
-10.0,1,3.529978
-7.5,20,3.532905
6.9,2,3.533278
0.4,10,3.534754
-13.1,13,3.536675
-15.1,15,3.538874
-17.3,18,3.541497
7.3,9,3.542829
11.5,7,3.543873
4.4,20,3.546807
5.7,16,3.549156
6.0,13,3.551071
6.7,16,3.553417
9.2,9,3.554756
5.8,4,3.555358
2.2,13,3.557272
-7.6,20,3.560196
-8.6,20,3.563226
-10.4,5,3.564042
3.7,18,3.566689
2.0,16,3.569043
11.6,17,3.57154
-6.0,3,3.571997
7.1,11,3.573617
-10.0,1,3.573784
6.7,15,3.575978
-8.5,20,3.578906
9.7,18,3.581628
-10.3,4,3.58224
6.6,5,3.582999
-10.7,8,3.584187
3.9,15,3.586389
7.9,13,3.588311
9.2,9,3.589648
-12.8,10,3.591127
-10.6,7,3.592176
-12.4,6,3.593078
-5.8,20,3.596006
-2.0,20,3.599243
5.7,16,3.601714
8.7,14,3.603801
-18.0,15,3.60601
0.5,20,3.608952
10.1,13,3.610877
-10.9,10,3.612367
-5.7,20,3.615286
-14.6,10,3.616845
-6.3,20,3.619777
9.1,10,3.62132
6.8,15,3.623531
-18.5,20,3.626451
-10.5,6,3.627353
-5.7,20,3.630302
-5.2,4,3.630969
1.8,17,3.633456
-10.0,1,3.633625
6.6,17,3.636106
-13.6,9,3.637435
-12.6,8,3.638621
-14.0,3,3.639076
-10.0,1,3.639241
6.6,5,3.639986
-9.6,20,3.642904
-10.0,1,3.643123
-14.2,15,3.645329
-12.0,12,3.647092
12.9,14,3.649139
4.2,12,3.650893
9.1,10,3.652363
-9.7,12,3.654115
7.7,18,3.656729
-1.5,20,3.659628
0.7,18,3.662325
-13.2,14,3.664376
5.9,14,3.66643
-10.0,1,3.666599
-10.0,1,3.666771
7.7,15,3.668959
-7.7,20,3.671859
-14.1,14,3.673961
-12.4,20,4.005037
6.1,12,4.00695
13.9,13,4.008884
6.8,14,4.010951
8.2,10,4.012441
7.9,13,4.014529
-12.6,8,4.015785
-12.0,2,4.016112
5.9,14,4.018224
-10.0,1,4.018395
4.4,19,4.02127
8.1,11,4.022908
-2.0,20,4.02587
12.3,20,4.028912
8.1,11,4.030771
-10.7,8,4.032053
-11.8,10,4.033601
