#{"t_start": 1753948336.807643, "env_id": "None"}
r,l,t
-11.4,20,1.479064
-17.0,15,1.481689
-7.6,20,1.486138
-8.5,20,1.490328
-10.3,20,1.494016
-3.4,20,1.49778
-11.4,20,1.501464
-10.0,1,1.501521
-10.2,3,1.502239
3.0,16,1.505749
-13.9,12,1.507916
4.4,9,1.509364
-7.6,20,1.513594
1.0,15,1.516785
-18.4,9,1.518515
-14.1,4,1.519343
-0.1,18,1.523435
-10.1,2,1.52354
9.7,6,1.524882
-10.0,1,1.524938
-10.0,1,1.524987
-10.0,1,1.525571
-12.8,14,1.528418
-13.0,13,1.53078
-7.6,20,1.53457
-5.7,20,1.538981
-0.5,20,1.542414
-12.7,9,1.544318
6.3,20,1.547952
-10.0,1,1.548014
7.0,1,1.548067
-10.0,1,1.548113
-16.0,20,1.552509
-16.0,14,1.556056
5.6,6,1.55693
-10.0,1,1.557584
7.0,1,1.557644
4.7,5,1.55849
-6.4,10,1.560674
6.7,4,1.56147
-18.9,15,1.563747
-10.2,3,1.564465
-10.0,1,1.565059
-11.3,5,1.566372
-16.7,13,1.568662
-10.3,20,1.572861
2.8,17,1.576043
-1.1,19,1.579731
-7.7,20,1.583412
-1.2,19,1.586822
5.6,6,1.587902
6.0,2,1.588754
-10.0,1,1.58934
6.9,2,1.589433
-7.6,20,1.593066
-6.6,20,1.597132
6.7,4,1.597972
-11.2,20,1.601672
1.7,20,1.606431
4.6,6,1.607941
-1.2,19,1.611409
-8.4,20,1.614959
-14.0,20,1.619257
10.8,16,1.622752
-12.8,14,1.625203
6.8,3,1.625988
-10.3,20,1.629886
-17.0,14,1.632445
-9.4,20,1.635914
-8.6,20,1.639843
-9.4,20,1.643483
-5.3,20,1.646921
-12.4,20,1.65247
6.0,13,1.656142
-10.5,6,1.657191
0.4,20,1.661098
-0.0,17,1.663984
2.5,19,1.667686
7.0,1,1.667749
7.0,1,1.668375
-13.2,20,1.672225
-7.5,20,1.675669
-8.4,20,1.68005
7.0,1,1.680114
6.9,2,1.680276
-10.0,1,1.68091
13.6,16,1.684072
-14.6,9,1.685816
-10.4,20,1.690099
-11.2,4,1.690814
-15.2,17,1.693803
6.0,14,1.696773
-10.0,1,1.697393
2.9,20,1.701262
-10.2,3,1.702057
5.8,20,1.706585
8.8,13,1.70886
-13.0,13,1.711121
-14.7,11,1.713306
-13.3,6,1.714079
11.0,14,1.71697
1.0,17,1.71984
7.0,1,1.720439
7.0,1,1.721381
-6.6,20,1.725382
5.5,7,1.726293
2.7,18,1.730182
-2.9,16,1.733035
-8.2,20,1.736536
3.7,17,1.740677
-2.5,20,1.744291
6.9,2,1.744923
6.9,2,1.745593
-10.6,7,1.747131
-1.2,20,1.750896
-6.8,11,1.753548
-11.3,5,1.754722
2.5,20,1.758545
-10.4,5,1.759288
5.9,3,1.760047
-9.4,20,1.763493
-6.7,20,1.766987
-10.3,20,1.771393
9.7,19,1.775292
