#{"t_start": 1753906027.9942641, "env_id": "None"}
r,l,t
5.0,2,1.576085
-16.9,13,1.577958
-16.2,20,1.580024
-1.8,18,1.581927
-19.4,14,1.585078
-10.3,20,1.587159
-22.8,20,1.590477
-20.0,20,1.592564
-12.4,20,1.594644
-11.1,3,1.596242
0.2,15,1.598344
-19.9,20,1.601418
6.8,3,1.601865
5.0,2,1.602675
-10.2,3,1.603518
-10.1,2,1.604282
-10.2,3,1.605104
-10.1,2,1.605862
-10.0,1,1.606475
6.7,4,1.607343
5.0,2,1.608136
-12.3,5,1.609175
-23.7,20,1.61177
-17.0,20,1.614145
-16.2,20,1.616513
-17.7,12,1.617908
-20.0,20,1.62001
-1.2,19,1.622057
-19.0,20,1.625376
-14.3,17,1.627196
-10.2,3,1.628689
4.9,13,1.630625
-11.3,20,1.633661
-17.0,20,1.677859
-10.0,1,1.678142
-5.0,19,1.680814
-15.2,20,1.684904
-15.2,20,1.687316
-18.0,20,1.689539
-12.0,2,1.689895
-10.3,4,1.691136
-1.1,7,1.692467
-10.0,1,1.693283
-10.0,1,1.693859
-10.0,1,1.694406
-10.0,1,1.694941
-10.0,1,1.695475
4.5,7,1.69663
-10.1,2,1.697531
-10.0,1,1.698144
-15.3,8,1.699549
-22.8,20,1.701573
-8.5,20,1.703633
-21.8,17,1.706614
-10.4,5,1.707237
-8.4,20,1.709927
-11.4,20,1.713141
-15.2,20,1.716441
-12.5,7,1.717283
-13.2,20,1.720033
-10.1,2,1.72148
1.3,11,1.723152
6.9,2,1.724247
2.2,15,1.726274
6.9,2,1.727498
6.0,2,1.728248
-10.2,3,1.729075
6.8,3,1.729936
-0.3,8,1.731296
-11.3,20,1.734211
-0.7,12,1.736806
-7.6,20,1.739788
-12.3,5,1.741556
-10.0,1,1.742342
7.0,1,1.742916
-10.0,1,1.743463
-5.3,20,1.745928
-12.4,20,1.749227
-6.6,20,1.752503
7.0,1,1.753873
2.6,7,1.755089
-8.6,20,1.757752
4.4,8,1.759786
-10.5,20,1.80801
-11.6,11,1.812045
4.1,13,1.81687
-15.5,9,1.819864
-2.2,18,1.823256
-12.3,5,1.824991
4.8,4,1.8261
-10.0,1,1.826821
-10.0,1,1.827402
8.7,7,1.828598
-10.0,1,1.829445
-10.0,1,1.830028
-10.1,2,1.830696
-10.0,1,1.831309
-5.0,2,1.831983
-10.0,1,1.832681
-10.0,1,1.833618
-12.3,5,1.834667
-24.6,20,1.837291
-17.9,20,1.839368
-11.4,20,1.841443
-5.0,17,1.84435
-12.4,6,1.846092
-17.0,20,1.848803
-13.0,20,1.850911
-7.8,20,1.854113
2.6,7,1.85607
-22.7,15,1.858321
4.8,4,1.858832
10.2,12,1.860641
-7.2,20,1.863545
7.0,1,1.865241
-10.0,1,1.866246
-10.0,1,1.866904
12.0,2,1.867602
-10.3,4,1.868559
7.0,1,1.869266
6.9,2,1.869949
-10.0,1,1.87056
-2.4,20,1.873006
-14.0,17,1.875936
-10.1,2,1.877302
-7.3,20,1.879847
-11.4,20,1.883087
-10.0,1,1.884439
-10.0,1,1.885045
-21.7,16,1.887076
-12.1,3,1.887491
-10.0,1,1.888149
-5.2,4,1.889014
-11.0,2,1.936794
6.7,4,1.938017
7.0,1,1.938741
6.6,5,1.939728
-10.0,1,1.94047
12.0,2,1.941142
-3.1,20,1.943873
2.5,12,1.946411
7.0,1,1.94748
-10.0,1,1.948071
-10.2,3,1.948866
-8.6,20,1.951768
-18.9,20,1.955125
5.2,11,1.956365
-20.7,14,1.958716
-13.3,20,1.960845
1.7,19,1.963984
7.0,1,1.965304
-17.1,20,1.968102
-10.0,1,1.968371
6.9,2,1.969121
-10.1,2,1.969853
-10.0,1,1.970475
-13.9,20,1.972902
-18.9,20,1.976121
-10.5,20,1.978222
-2.6,12,1.980684
2.5,8,1.982454
-14.7,19,1.985113
6.8,3,1.986612
6.9,2,1.987413
10.9,13,1.989224
-10.2,3,1.990494
-2.5,20,1.993047
4.8,4,1.994676
-10.0,1,1.995508
7.0,1,1.996113
-10.2,3,1.996909
-10.0,1,1.997573
7.0,1,1.998129
-12.0,2,1.998826
-10.4,20,2.001422
-10.0,1,2.002729
-10.0,1,2.003329
7.0,1,2.003877
-12.4,20,2.006297
-11.6,8,2.008327
-24.7,15,2.010612
6.9,2,2.010927
-15.2,20,2.013413
-1.1,17,2.015197
-14.1,20,2.018415
-15.0,20,2.021691
6.0,2,2.023187
7.0,1,2.023853
-18.0,20,2.02638
-11.3,20,2.028516
-13.0,12,2.030972
-17.4,9,2.032869
-16.8,12,2.034153
1.7,7,2.034948
8.7,7,2.036412
-10.1,2,2.03735
6.9,2,2.038083
-10.0,1,2.038693
2.0,4,2.03955
6.0,2,2.04036
-10.0,1,2.04097
-7.0,3,2.041724
3.7,10,2.043298
-13.3,20,2.046132
-10.1,2,2.047574
-5.6,8,2.048953
-10.0,1,2.049854
1.6,19,2.052223
-9.5,20,2.055381
6.9,2,2.056839
-17.8,13,2.058701
-3.5,12,2.059976
7.0,1,2.060981
-10.0,1,2.061555
-5.1,3,2.062317
7.0,1,2.06296
4.9,3,2.063721
-11.5,20,2.066269
-10.1,2,2.067706
7.0,1,2.068357
5.9,3,2.069118
-14.2,20,2.071664
-7.8,16,2.074507
-18.1,20,2.077659
7.0,1,2.077904
-17.0,20,2.080388
7.0,1,2.080634
-10.0,1,2.081185
6.9,2,2.081834
7.0,1,2.08243
-10.0,1,2.083089
-14.3,20,2.085552
-28.5,15,2.088246
-17.2,20,2.090308
-16.6,11,2.091519
-18.0,20,2.093541
-7.7,20,2.095623
-3.3,9,2.097791
-10.0,1,2.09873
-10.0,1,2.099393
-10.0,1,2.099983
-30.6,18,2.102251
-5.2,4,2.102777
4.8,4,2.103793
0.6,8,2.105216
-21.8,20,2.107943
-3.5,11,2.10918
-16.8,12,2.111269
-13.2,5,2.111862
4.7,5,2.113038
4.8,4,2.114092
-16.2,20,2.116694
-16.3,7,2.117533
-4.5,12,2.118764
-1.6,12,2.120889
-0.8,13,2.123106
-15.1,19,2.125945
-12.3,20,2.128031
-4.5,12,2.130465
-18.1,20,2.133465
-18.3,19,2.135512
-7.6,20,2.137636
0.6,9,2.139868
-13.2,20,2.142734
-15.1,5,2.144483
-10.5,6,2.145119
-12.8,10,2.146862
-5.9,17,2.149476
-16.2,20,2.15264
-15.0,20,2.154772
-9.5,20,2.158032
-13.3,20,2.161317
-8.6,10,2.163601
-16.5,10,2.165504
-14.1,20,2.167576
-17.2,8,2.169645
-5.0,2,2.169916
7.0,1,2.170578
4.9,3,2.171346
-10.0,1,2.171999
5.8,4,2.172863
-10.1,2,2.173651
-10.1,2,2.174363
-4.4,20,2.210161
-11.4,20,2.213635
-11.3,20,2.217741
-8.3,20,2.221341
6.9,2,2.222875
-10.2,3,2.223765
-7.3,20,2.226351
6.9,2,2.227854
-10.0,1,2.228514
7.0,1,2.22907
-24.9,18,2.231345
-12.5,7,2.232188
-3.4,20,2.234931
7.0,1,2.236256
-12.4,20,2.238745
-1.4,9,2.240841
-12.7,9,2.242561
3.4,9,2.244265
-8.5,20,2.247025
-15.1,20,2.250354
-13.7,10,2.251501
7.9,5,2.252948
-10.0,1,2.253719
-9.5,20,2.25618
3.4,9,2.258306
-5.4,20,2.261149
-17.1,20,2.264346
-21.8,15,2.266055
-10.6,7,2.266876
-17.1,20,2.269677
-22.7,20,2.271802
-10.1,2,2.272138
-10.0,1,2.272777
5.9,3,2.273545
-10.0,1,2.274192
7.0,1,2.274738
6.8,3,2.275485
-7.2,5,2.276554
-10.4,20,2.279205
4.7,5,2.280951
5.0,2,2.281827
-10.0,1,2.282467
-10.0,1,2.283136
-10.0,1,2.283726
6.9,2,2.284418
7.0,1,2.285046
-13.2,20,2.287508
-14.2,20,2.29079
-10.1,2,2.292257
-16.0,20,2.294784
-14.3,20,2.29685
1.6,8,2.29888
-15.2,20,2.301724
-10.0,1,2.301975
-10.0,1,2.302551
-10.0,1,2.303098
4.9,3,2.303847
-10.0,1,2.304487
-10.0,1,2.305036
-10.0,1,2.30557
-10.0,1,2.306101
-10.1,2,2.306743
-11.4,20,2.309262
-21.4,11,2.311607
6.8,3,2.311994
-2.8,14,2.314022
-1.2,8,2.315907
-23.8,20,2.318706
-14.2,20,2.320823
-21.6,13,2.323372
-13.3,20,2.32545
-3.4,20,2.32873
-8.5,20,2.331988
-7.4,7,2.334032
-10.0,1,2.334893
7.0,1,2.335456
